collection_id,account_id,call_attempts,recovery_amount
388,1191,5,45313.17
389,9356,5,523.5
390,7096,7,28139.4
391,11662,7,22345.72
392,16932,3,45006.16
393,4516,3,47408.89
394,17186,2,15981.51
395,13371,3,36169.27
396,6330,4,18577.46
397,8534,9,5741.55
398,4946,3,14788.62
399,4448,4,9252.43
400,6489,8,27539.86
401,16484,6,3640.43
402,8648,6,29246.8
403,11050,3,5714.1
404,6474,9,8835.53
405,4996,4,5234.49
406,10792,4,24139.92
407,19772,4,22316.8
408,3299,1,20122.54
409,2018,8,41776.36
410,9955,7,14402.99
411,8753,1,35558.46
412,15101,3,3672.79
413,599,2,43931.29
414,12541,1,24600.19
415,1176,1,46285.39
416,4945,2,31882.98
417,12584,8,32922.73
418,1438,2,5872.48
419,13403,3,3803.52
420,11056,8,31965.0
421,13845,2,36708.85
422,13277,2,24040.73
423,19598,6,35153.68
424,2024,2,36282.96
425,378,9,29127.09
426,492,8,49322.02
427,15153,3,27547.41
428,18385,8,31583.1
429,3070,4,18134.66
430,1160,4,13164.45
431,19474,8,18243.87
432,11584,1,43115.7
433,15210,1,48689.07
434,693,4,45208.18
435,2525,1,36466.31
436,9396,2,9667.18
437,6147,7,7043.67
438,3229,8,9249.58
439,11379,9,21065.96
440,16956,3,16986.02
441,6495,7,47123.37
442,1309,9,16824.86
443,18885,3,37623.34
444,15745,1,18798.7
445,403,1,46379.6
446,5622,7,27568.62
447,8198,1,16270.51
448,19871,5,20571.58
449,9183,1,24826.85
450,1801,8,22727.83
451,19204,4,13466.01
452,18759,1,36761.2
453,18267,7,42954.88
454,6115,9,2180.22
455,3382,5,8891.44
456,17306,7,49964.98
457,2824,5,17904.25
458,3161,9,10409.99
459,9619,2,27357.89
460,13093,7,20241.12
461,11334,4,9779.6
462,6600,6,3863.74
463,8571,8,14253.55
464,10743,7,26264.06
465,17264,3,13320.13
466,17055,3,6592.15
467,5114,6,29736.67
468,14542,9,3629.61
469,6227,6,4293.19
470,15493,3,49747.74
471,17891,4,9545.34
472,2463,4,36265.43
473,5026,2,32008.29
474,7179,8,48190.88
475,4369,8,24511.21
476,16584,3,41506.0
477,19349,7,24186.86
478,3475,8,12011.95
479,14810,7,40147.44
480,8845,3,39060.18
481,9831,2,4584.44
482,12378,3,9654.0
483,12745,3,1876.46
484,13279,3,8623.23
485,597,2,41917.1
486,15268,8,22056.07
487,9942,8,35248.41
488,19540,3,1549.37
489,12699,9,47929.86
490,7420,2,49208.27
491,9073,5,2430.46
492,8647,5,26500.27
493,5197,9,27479.72
494,17319,2,48555.94
495,16303,8,13242.8
496,18099,6,20104.82
497,804,9,18274.14
498,1717,3,45890.06
499,11704,7,9805.43
500,8631,9,44681.7
501,4682,9,34342.49
502,10854,9,38488.24
503,9651,1,42149.67
504,3958,7,13777.26
505,12147,5,2471.21
506,4461,6,27680.78
507,8854,1,20887.08
508,19731,6,9815.25
509,9527,6,31087.45
510,14346,7,31197.83
511,2949,4,40546.53
512,5363,2,47702.39
513,7851,5,8657.52
514,4341,4,10854.63
515,1656,3,33057.83
516,9088,8,48715.08
517,9017,4,15405.38
518,8719,2,1619.43
519,14747,1,49012.83
520,11684,6,40967.46
521,14067,4,32643.35
522,13143,2,20077.55
523,4302,7,38065.78
524,13843,7,14196.59
525,8261,1,26111.09
526,18329,9,40525.19
527,16018,8,34464.89
528,19183,3,21843.72
529,8365,9,9133.59
530,6233,9,14795.08
531,19069,1,25616.28
532,2738,6,30373.98
533,1163,7,27590.98
534,19679,9,24242.03
535,568,5,49757.28
536,1402,3,34301.4
537,8786,3,16839.3
538,6882,8,1310.28
539,6789,9,17610.01
540,8245,4,33712.82
541,3524,5,46967.43
542,9128,4,16210.24
543,8457,9,40751.3
544,13108,7,30498.62
545,16147,8,27746.7
546,7661,9,23340.64
547,4457,7,37265.11
548,3929,8,16362.79
549,18656,6,10893.4
550,12575,5,15280.99
551,16503,6,1946.93
552,1286,1,6513.79
553,13950,6,36250.49
554,11803,5,10602.09
555,13895,4,4276.47
556,18395,1,32898.03
557,453,1,39442.85
558,6261,1,8906.76
559,16585,9,35615.27
560,2392,5,576.17
561,1879,8,7668.17
562,10353,4,10671.69
563,7937,1,49882.79
564,1054,4,26876.09
565,11258,1,35867.16
566,9501,5,5157.08
567,5543,1,43562.73
568,9937,2,35726.47
569,17640,8,13805.16
570,48,8,2139.1
571,2248,6,20682.57
572,1521,1,26010.95
573,9240,3,19679.65
574,9646,6,1101.41
575,18706,1,36256.72
576,19294,7,4857.85
577,12210,4,19172.57
578,13790,5,4968.17
579,17190,8,42860.95
580,7836,9,34947.19
581,16531,9,43543.21
582,6270,6,3464.22
583,8725,7,49094.21
584,18866,1,1410.06
585,11871,9,4408.38
586,13459,5,28827.23
587,5446,6,3732.29
588,10766,4,28317.7
589,16792,7,1844.58
590,1271,9,20835.28
591,15434,6,43743.96
592,17557,8,4249.43
593,14493,2,43036.49
594,8651,1,10316.69
595,3701,8,27890.63
596,14761,7,39960.79
597,15090,2,36226.44
598,9849,7,45456.68
599,1994,3,38910.54
600,5950,2,12384.47
601,3489,6,11522.67
602,19603,5,45811.42
603,14891,2,28400.15
604,7703,5,24238.65
605,15928,7,14225.56
606,16656,6,44173.84
607,8593,9,32352.56
608,3143,6,48427.32
609,13008,6,12653.79
610,17729,2,22471.62
611,4203,5,3944.83
612,9381,7,20258.7
613,3049,6,42625.44
614,16151,2,13818.43
615,10747,2,8665.63
616,19864,5,31923.11
617,8651,6,31549.49
618,3407,5,47750.91
619,2673,3,42862.51
620,16920,9,4601.94
621,979,8,1674.54
622,6690,7,15981.65
623,12613,1,4350.34
624,17459,3,16440.61
625,8118,3,17943.59
626,19560,6,17591.05
627,11691,8,45092.02
628,2011,3,1341.52
629,3180,5,3249.99
630,366,4,26477.84
631,12038,7,14069.88
632,19316,4,43329.3
633,19273,4,9474.15
634,5124,8,33603.81
635,16531,2,37073.92
636,11123,6,14025.34
637,11318,2,9367.69
638,15557,5,31474.07
639,12301,4,33823.84
640,8730,3,38087.94
641,14550,1,47012.27
642,18299,2,22242.18
643,19973,8,9330.07
644,18944,2,20422.35
645,1144,1,44492.7
646,18362,2,25218.08
647,19444,6,12816.12
648,7056,6,10286.12
649,18677,4,34524.93
650,11034,7,11539.4
651,18882,2,31899.36
652,10365,8,41483.86
653,18456,5,15421.35
654,8198,5,29323.64
655,4476,6,9068.63
656,2021,5,3751.24
657,17822,3,27451.6
658,12063,6,43163.08
659,10514,1,15625.31
660,5058,2,30655.99
661,9198,3,32081.38
662,2434,3,23194.52
663,14211,3,36506.51
664,2191,6,828.62
665,6048,7,34834.53
666,17676,6,15568.72
667,2341,3,29308.47
668,4109,8,15712.49
669,18599,2,4938.76
670,7615,8,46173.06
671,1685,6,9879.15
672,1594,2,26115.25
673,12967,4,40009.69
674,18436,8,34679.19
675,5964,8,36565.95
676,10113,2,18701.81
677,19355,2,30743.59
678,292,5,23951.92
679,3541,1,35675.58
680,13292,1,32016.08
681,10623,9,5819.79
682,18824,7,24896.0
683,5486,5,25937.35
684,17068,1,44101.23
685,15627,3,49555.87
686,12913,4,8684.2
687,1792,7,12901.61
688,10369,2,37900.72
689,7698,1,5631.45
690,18746,8,9863.65
691,16274,7,3772.43
692,13057,1,20821.18
693,17294,2,28327.61
694,3299,9,41341.05
695,2333,5,542.74
696,13261,1,36287.18
697,8622,8,49293.23
698,3882,8,48364.81
699,2887,3,29864.05
700,19461,5,20715.64
701,7472,6,45887.03
702,6991,9,6692.12
703,19144,5,30919.94
704,3623,3,8169.01
705,5069,5,29081.03
706,5229,7,23502.51
707,510,9,30779.54
708,6962,2,26997.67
709,5756,9,43278.14
710,6327,9,21496.85
711,6244,5,18616.11
712,6832,6,46023.15
713,18186,4,37068.98
714,14878,6,520.22
715,8980,4,47173.12
716,7832,9,32619.53
717,6297,7,35425.02
718,9621,9,19270.11
719,18786,7,2036.24
720,3626,1,28036.07
721,18731,3,30932.55
722,7955,7,44824.57
723,5360,7,49665.76
724,4920,3,27987.15
725,2564,8,29395.6
726,5077,8,10255.08
727,3626,2,44525.4
728,9000,7,43514.93
729,13996,2,18585.23
730,16772,2,35393.21
731,9696,4,7498.31
732,19432,3,27040.85
733,13716,7,14366.62
734,16021,9,8549.3
735,5474,4,2009.65
736,19322,1,21868.2
737,12772,5,47457.15
738,18486,2,13779.55
739,1268,1,38789.31
740,12499,9,13405.09
741,5911,2,35535.94
742,19396,6,14314.59
743,2439,5,11815.23
744,14187,2,3302.52
745,17032,5,5520.08
746,148,7,27933.99
747,2680,3,40371.86
748,2284,6,48555.74
749,6392,4,5650.85
750,19609,4,29846.28
751,17709,8,4542.31
752,15477,7,8308.62
753,6277,3,41515.96
754,18721,8,32461.23
755,16416,2,42619.5
756,629,4,21561.41
757,15023,8,48789.6
758,13044,9,39526.76
759,7315,3,21762.58
760,16734,3,25871.74
761,15552,7,33341.36
762,2771,4,30546.75
763,9689,2,32704.14
764,6580,8,5498.61
765,2798,7,29193.63
766,2518,4,30497.01
767,1704,8,3560.46
768,7323,8,38953.59
769,5402,3,9607.63
770,6813,1,31501.74
771,3240,9,32066.83
772,5113,8,13936.67
773,14364,4,36977.16
774,12528,8,22572.35
775,2343,5,41036.15
776,18162,9,16198.47
777,4272,7,43483.8
778,2194,2,25210.24
779,12239,2,12591.82
780,18107,8,18006.02
781,11814,9,10456.42
782,18618,5,44595.1
783,12174,6,20165.48
784,337,3,49617.36
785,9843,6,11667.96
786,11606,8,2872.19
787,9483,9,38025.23
788,11613,4,14998.91
789,14147,6,18723.52
790,19498,5,11796.87
791,8196,2,21675.73
792,8396,5,32412.34
793,9369,6,24322.37
794,13911,4,12295.07
795,16466,5,13982.9
796,2947,1,19711.04
797,11514,2,9315.55
798,2034,1,25387.55
799,17490,3,7210.63
800,19857,5,27231.53
801,10181,9,33919.02
802,6055,2,32925.02
803,16478,6,7051.99
804,18584,1,41329.45
805,296,1,29708.62
806,10027,9,662.05
807,14749,2,1629.58
808,3006,5,32956.7
809,9551,4,5820.0
810,18847,9,29290.51
811,1912,5,48699.1
812,3206,6,24803.67
813,12189,5,31548.15
814,10392,9,1645.95
815,17848,1,42262.64
816,5106,2,2152.19
817,9064,4,38574.37
818,6541,4,23355.22
819,17637,1,24878.41
820,15446,1,40720.02
821,12380,3,47815.9
822,14040,9,20779.98
823,10738,4,24323.7
824,14644,2,49558.83
825,14456,5,30126.43
826,1689,1,26569.34
827,2211,6,18237.24
828,10330,6,3545.3
829,16893,8,33376.93
830,11172,8,42581.8
831,4314,4,10691.37
832,19758,6,30011.13
833,4073,8,24607.79
834,10202,6,39683.36
835,4247,1,33105.73
836,3971,7,11821.98
837,19250,3,10750.07
838,17292,6,46936.64
839,13691,4,33357.6
840,17899,3,37986.23
841,7187,6,25412.78
842,13656,5,43600.7
843,6525,3,6299.42
844,19663,8,16102.34
845,19051,1,4217.75
846,1721,5,4222.19
847,5464,7,3429.64
848,2373,2,19351.74
849,12523,8,46340.11
850,14382,3,2635.63
851,8623,5,30207.13
852,962,5,46867.44
853,6280,7,21502.67
854,12620,4,13362.2
855,17932,8,40810.78
856,18076,7,19765.88
857,9976,3,17048.08
858,8552,2,37760.69
859,13188,5,28820.63
860,14372,4,2586.87
861,6871,5,14567.67
862,16381,4,47969.5
863,18331,3,2353.31
864,8701,8,555.29
865,17198,6,7206.24
866,12823,1,13618.56
867,2475,2,29865.14
868,19996,8,23428.47
869,18346,6,6019.18
870,9028,4,24270.11
871,5541,9,42765.05
872,1469,2,34418.31
873,12673,9,12452.17
874,2567,4,15814.31
875,9724,1,46540.56
876,10728,1,6175.78
877,13837,8,45152.7
878,6730,2,16344.64
879,1439,7,25410.87
880,4770,3,18893.86
881,15515,2,3859.36
882,3608,4,28556.68
883,12319,8,17017.89
884,18822,8,8425.67
885,16114,2,11303.3
886,913,2,4009.14
887,9611,6,6686.69
888,1168,3,45284.06
889,15526,8,25766.13
890,8551,3,31669.74
891,8301,9,20084.88
892,586,4,46622.34
893,4972,7,7677.39
894,9049,2,36377.04
895,10744,2,18027.1
896,3379,2,23934.75
897,7893,6,14445.31
898,906,3,5075.33
899,11332,1,28128.34
900,14032,5,14450.17
901,4777,8,46511.2
902,1705,2,13229.7
903,2685,2,35996.21
904,15521,2,14000.83
905,2384,9,34911.51
906,8799,9,47802.86
907,14785,3,15406.56
908,10524,7,20993.49
909,17709,1,29996.72
910,11227,3,19028.53
911,16214,9,29719.21
912,4686,9,27396.32
913,11950,3,21020.16
914,15776,5,36938.29
915,19832,2,31777.81
916,4273,2,35960.45
917,3153,2,34279.34
918,10791,4,18722.09
919,9736,4,703.38
920,8924,2,14186.95
921,12741,3,17601.88
922,11797,9,35528.14
923,19637,8,49122.59
924,8392,2,46222.89
925,10976,7,7328.65
926,11639,4,15948.82
927,10682,7,1887.18
928,16765,1,22448.35
929,9376,9,15527.82
930,15264,6,30817.56
931,12393,7,16652.24
932,18611,7,44636.07
933,13563,9,22649.92
934,11894,7,17780.26
935,19695,6,6914.45
936,5213,3,39640.62
937,206,8,38300.43
938,8816,7,22905.69
939,13159,2,15828.01
940,14282,5,7628.1
941,9857,9,37221.61
942,13894,4,18199.34
943,9950,9,38507.14
944,2059,1,4944.75
945,10085,1,22048.7
946,17870,3,41728.74
947,19999,9,19060.8
948,5338,2,32501.68
949,17675,1,20813.21
950,6939,3,43135.14
951,13649,8,42225.81
952,741,4,47001.0
953,10754,1,15270.91
954,6618,6,4063.0
955,15556,9,45434.73
956,18459,6,23134.01
957,4012,1,25212.11
958,9794,5,29902.87
959,19450,6,40591.66
960,17869,3,43421.88
961,17990,4,16693.75
962,4227,5,3263.45
963,14257,9,4559.79
964,2886,7,26430.62
965,11800,6,36707.38
966,3501,3,44563.95
967,16845,6,31029.07
968,3801,9,40692.29
969,12731,8,17457.68
970,1351,1,33873.23
971,6916,8,33179.0
972,8872,6,31789.72
973,16131,4,14474.22
974,12785,9,22167.37
975,8484,6,22363.81
976,15494,2,41577.32
977,18160,4,35643.41
978,18183,9,6244.2
979,5989,6,17018.09
980,9578,7,2364.96
981,2883,9,8964.52
982,16538,5,38670.6
983,4314,8,936.9
984,13157,2,5870.36
985,14509,4,36120.82
986,7379,3,39350.65
987,13492,6,2436.68
988,18773,2,10249.3
989,17106,6,11007.81
990,11105,6,5838.39
991,1289,7,23088.43
992,15263,1,4577.27
993,5346,3,10709.78
994,3132,7,49531.52
995,595,5,32379.17
996,19950,8,23040.01
997,13388,4,30946.29
998,7281,1,8779.76
999,11354,2,46607.19
1000,10570,8,23132.48
1001,2267,7,34712.58
1002,10136,1,38204.58
1003,19245,2,35636.46
1004,8461,6,38802.27
1005,15502,3,11138.63
1006,7628,3,42993.71
1007,19465,3,21369.9
1008,8360,7,37262.95
1009,8082,5,27848.74
1010,13155,3,43295.89
1011,258,5,15354.0
1012,16221,5,1974.36
1013,17998,1,20450.55
1014,765,1,23052.99
1015,19480,3,38867.21
1016,19469,5,43149.82
1017,1589,4,42370.74
1018,6477,4,24224.35
1019,15480,7,49194.13
1020,2121,1,17865.97
1021,17525,5,32074.64
1022,10219,4,3998.59
1023,7700,8,7190.9
1024,8045,8,42634.12
1025,3123,1,31684.48
1026,16159,3,31975.77
1027,16481,4,28394.56
1028,15648,1,32394.1
1029,8464,7,16635.56
1030,19093,4,48057.65
1031,12281,9,46273.47
1032,7708,5,11347.03
1033,10227,5,15986.81
1034,9253,1,23463.48
1035,2109,7,23020.88
1036,19903,6,2624.36
1037,18474,9,31644.17
1038,12898,8,39339.73
1039,12900,6,20395.45
1040,11722,4,38351.88
1041,9420,7,12123.3
1042,19374,6,13001.91
1043,12701,4,37688.08
1044,2357,3,48926.21
1045,19290,9,33281.26
1046,15198,9,41784.36
1047,16469,5,24145.1
1048,3300,2,27048.28
1049,13634,5,8685.46
1050,7424,8,48500.89
1051,15855,5,26221.24
1052,1055,7,5973.88
1053,2856,5,48395.29
1054,312,3,20635.0
1055,11978,8,12455.51
1056,17826,2,19950.69
1057,14310,2,29204.52
1058,6755,9,34390.65
1059,7003,1,10382.43
1060,14804,7,1598.59
1061,10430,2,44290.41
1062,6657,4,19080.06
1063,1697,3,30720.91
1064,14183,7,38789.0
1065,8965,2,33212.25
1066,3500,8,2105.05
1067,1131,1,32695.28
1068,9101,4,13973.25
1069,15230,8,47870.83
1070,6363,8,9902.26
1071,9107,6,22320.69
1072,9499,2,33768.93
1073,13353,2,28885.85
1074,14090,9,8565.05
1075,17920,3,734.71
1076,9399,2,43727.69
1077,7447,5,6171.21
1078,18396,7,5472.75
1079,1571,2,38679.94
1080,10836,4,41671.98
1081,3258,1,28024.48
1082,18070,5,17828.98
1083,8173,5,23850.34
1084,14172,6,7438.55
1085,10453,6,43923.95
1086,9163,1,35446.9
1087,2881,2,37119.87
1088,16570,8,28850.45
1089,7306,6,41149.79
1090,19347,4,10224.43
1091,17391,7,36324.83
1092,15124,4,9169.38
1093,6519,3,45822.43
1094,11314,8,24953.63
1095,13707,4,37358.09
1096,17389,7,15652.86
1097,800,9,20321.81
1098,106,1,27729.49
1099,8470,3,1196.91
1100,9941,5,8439.36
1101,13304,1,37916.92
1102,13551,9,7456.1
1103,6310,3,34514.29
1104,2953,5,26134.15
1105,14760,9,17700.36
1106,11790,8,39860.63
1107,13742,9,14294.8
1108,5744,6,8535.03
1109,17814,2,2889.72
1110,15733,4,4191.55
1111,2956,5,6988.4
1112,10767,1,36802.76
1113,13942,2,30398.18
1114,17303,5,1289.56
1115,9801,1,10870.86
1116,10856,8,10405.3
1117,18406,8,31554.38
1118,7704,2,42514.81
1119,12593,5,8944.91
1120,6570,8,15347.16
1121,19071,3,41023.06
1122,16244,6,41946.9
1123,14146,9,45747.12
1124,5525,4,15339.4
1125,10977,2,20951.61
1126,12389,3,35791.76
1127,14939,9,42219.4
1128,9097,9,26073.38
1129,4004,5,13877.63
1130,1074,7,14496.98
1131,2576,7,36863.76
1132,11995,3,48595.14
1133,9080,4,31991.33
1134,4467,4,5341.7
1135,10226,2,37558.61
1136,9145,3,10276.55
1137,6734,8,11805.01
1138,15227,3,38184.42
1139,4680,8,36937.78
1140,13200,2,27261.66
1141,10187,8,41989.51
1142,854,7,35138.05
1143,13136,6,27980.07
1144,6781,6,38778.64
1145,8472,3,8192.72
1146,10372,8,26595.4
1147,8092,9,31245.96
1148,8629,3,9518.27
1149,4773,5,17710.47
1150,3318,8,43018.02
1151,13275,7,34062.67
1152,16093,6,24226.53
1153,18770,5,27493.02
1154,2295,9,38556.37
1155,15454,6,9992.88
