alert_id,account_id,fraud_type,status
218,7960,Suspicious Spend,Closed
219,18096,Suspicious Spend,Closed
220,19865,Suspicious Spend,Open
221,16293,Identity Theft,Open
222,2500,Identity Theft,Closed
223,17089,Card Not Present,Open
224,9943,Suspicious Spend,Closed
225,8732,Identity Theft,Closed
226,12638,Card Not Present,Closed
227,17920,Suspicious Spend,Open
228,15196,Card Not Present,Closed
229,18751,Suspicious Spend,Open
230,17808,Card Not Present,Closed
231,16015,Identity Theft,Open
232,14963,Identity Theft,Closed
233,14951,Suspicious Spend,Closed
234,14677,Identity Theft,Open
235,17161,Identity Theft,Closed
236,7564,Suspicious Spend,Open
237,7760,Identity Theft,Closed
238,1065,Card Not Present,Closed
239,4848,Suspicious Spend,Closed
240,18415,Card Not Present,Open
241,2781,Card Not Present,Open
242,2401,Card Not Present,Open
243,8158,Card Not Present,Closed
244,16731,Suspicious Spend,Open
245,18753,Suspicious Spend,Open
246,10144,Identity Theft,Open
247,16475,Identity Theft,Closed
248,1713,Suspicious Spend,Open
249,8364,Identity Theft,Closed
250,6955,Suspicious Spend,Closed
251,12252,Suspicious Spend,Closed
252,779,Suspicious Spend,Open
253,10763,Suspicious Spend,Open
254,8392,Suspicious Spend,Closed
255,18906,Card Not Present,Open
256,802,Identity Theft,Closed
257,365,Identity Theft,Open
258,19388,Identity Theft,Closed
259,7445,Identity Theft,Open
260,4089,Identity Theft,Closed
261,15836,Suspicious Spend,Closed
262,15526,Identity Theft,Open
263,19698,Suspicious Spend,Closed
264,11486,Card Not Present,Open
265,18255,Card Not Present,Open
266,5176,Identity Theft,Closed
267,11348,Suspicious Spend,Closed
268,19526,Card Not Present,Open
269,18296,Card Not Present,Closed
270,12863,Identity Theft,Open
271,4817,Suspicious Spend,Closed
272,18852,Identity Theft,Open
273,5994,Card Not Present,Open
274,14452,Suspicious Spend,Open
275,13366,Identity Theft,Closed
276,8761,Identity Theft,Open
277,10682,Identity Theft,Closed
278,1923,Card Not Present,Closed
279,7188,Identity Theft,Open
280,17189,Card Not Present,Closed
281,6342,Identity Theft,Open
282,14093,Card Not Present,Open
283,2122,Suspicious Spend,Open
284,11176,Identity Theft,Open
285,10568,Card Not Present,Open
286,1766,Identity Theft,Closed
287,17985,Identity Theft,Closed
288,15341,Identity Theft,Open
289,14905,Suspicious Spend,Open
290,18705,Identity Theft,Open
291,2925,Card Not Present,Closed
292,13981,Suspicious Spend,Closed
293,16255,Suspicious Spend,Open
294,17420,Identity Theft,Closed
295,9431,Suspicious Spend,Closed
296,13778,Card Not Present,Open
297,4594,Identity Theft,Open
298,3639,Identity Theft,Closed
299,4815,Identity Theft,Closed
300,14507,Identity Theft,Open
301,14281,Card Not Present,Open
302,2002,Suspicious Spend,Open
303,3535,Identity Theft,Closed
304,8103,Card Not Present,Open
305,5260,Identity Theft,Open
306,4141,Card Not Present,Open
307,3675,Identity Theft,Open
308,12427,Suspicious Spend,Closed
309,806,Suspicious Spend,Open
310,9890,Card Not Present,Open
311,347,Suspicious Spend,Closed
312,2744,Card Not Present,Open
313,14826,Suspicious Spend,Open
314,11018,Suspicious Spend,Open
315,19130,Suspicious Spend,Closed
316,14067,Suspicious Spend,Open
317,13911,Suspicious Spend,Open
318,9338,Suspicious Spend,Open
319,11718,Card Not Present,Open
320,1840,Identity Theft,Closed
321,4923,Identity Theft,Closed
322,3551,Card Not Present,Open
323,9561,Card Not Present,Open
324,1025,Suspicious Spend,Open
325,7709,Suspicious Spend,Open
326,7973,Identity Theft,Open
327,14723,Identity Theft,Open
328,13401,Card Not Present,Closed
329,6638,Identity Theft,Closed
330,15937,Identity Theft,Closed
331,6317,Card Not Present,Open
332,7423,Card Not Present,Open
333,123,Card Not Present,Open
334,16300,Identity Theft,Open
335,7861,Suspicious Spend,Closed
336,4851,Card Not Present,Closed
337,3985,Card Not Present,Closed
338,10843,Suspicious Spend,Closed
339,14276,Identity Theft,Open
340,13876,Suspicious Spend,Open
341,12951,Card Not Present,Closed
342,11980,Identity Theft,Closed
343,12799,Identity Theft,Closed
344,3418,Suspicious Spend,Open
345,14713,Identity Theft,Closed
346,8999,Identity Theft,Closed
347,3567,Card Not Present,Closed
348,10837,Identity Theft,Closed
349,3212,Card Not Present,Open
350,5368,Suspicious Spend,Closed
351,594,Suspicious Spend,Open
352,18564,Identity Theft,Closed
353,14042,Identity Theft,Closed
354,4891,Card Not Present,Closed
355,8567,Identity Theft,Open
356,13008,Suspicious Spend,Open
357,1693,Suspicious Spend,Closed
358,6140,Suspicious Spend,Closed
359,4290,Card Not Present,Open
360,9190,Identity Theft,Open
361,17234,Suspicious Spend,Open
362,9457,Suspicious Spend,Open
363,11667,Suspicious Spend,Open
364,7224,Identity Theft,Closed
365,11514,Identity Theft,Closed
366,16888,Card Not Present,Closed
367,18912,Suspicious Spend,Open
368,1919,Card Not Present,Open
369,18628,Identity Theft,Open
370,9116,Card Not Present,Open
371,12024,Identity Theft,Open
372,15331,Identity Theft,Open
373,6007,Suspicious Spend,Open
374,15216,Suspicious Spend,Open
375,17138,Card Not Present,Open
376,3329,Suspicious Spend,Open
377,14373,Identity Theft,Closed
378,13928,Card Not Present,Open
379,4756,Card Not Present,Open
380,7163,Suspicious Spend,Open
381,3355,Suspicious Spend,Closed
382,5960,Suspicious Spend,Open
383,11418,Suspicious Spend,Open
384,17514,Identity Theft,Closed
385,17161,Identity Theft,Closed
386,6838,Suspicious Spend,Closed
387,9263,Card Not Present,Closed
388,13655,Identity Theft,Closed
389,8783,Card Not Present,Closed
390,17454,Card Not Present,Closed
391,2954,Suspicious Spend,Open
392,10166,Identity Theft,Closed
393,13732,Suspicious Spend,Closed
394,3825,Suspicious Spend,Open
395,4562,Suspicious Spend,Closed
396,4615,Suspicious Spend,Closed
397,10696,Card Not Present,Closed
398,9327,Card Not Present,Closed
399,8986,Identity Theft,Open
400,13759,Suspicious Spend,Closed
401,3204,Suspicious Spend,Open
402,8651,Identity Theft,Closed
403,3406,Suspicious Spend,Open
404,11386,Suspicious Spend,Open
405,3991,Suspicious Spend,Closed
406,11828,Card Not Present,Closed
407,5286,Identity Theft,Closed
408,1700,Suspicious Spend,Closed
409,10375,Identity Theft,Open
410,12784,Card Not Present,Closed
411,5889,Suspicious Spend,Closed
412,16783,Identity Theft,Open
413,6699,Identity Theft,Closed
414,4331,Identity Theft,Closed
415,1348,Suspicious Spend,Open
416,10449,Identity Theft,Open
417,12198,Card Not Present,Closed
418,1823,Card Not Present,Closed
419,10689,Identity Theft,Open
420,19685,Card Not Present,Closed
421,1403,Suspicious Spend,Closed
422,17987,Identity Theft,Open
423,6286,Card Not Present,Closed
424,6372,Identity Theft,Closed
425,5520,Identity Theft,Open
426,1029,Card Not Present,Open
427,5931,Card Not Present,Closed
428,5338,Identity Theft,Closed
429,8674,Suspicious Spend,Closed
430,14384,Suspicious Spend,Open
431,12114,Card Not Present,Open
432,9644,Identity Theft,Open
433,15641,Suspicious Spend,Open
434,13030,Identity Theft,Closed
435,6593,Identity Theft,Closed
436,11300,Suspicious Spend,Closed
437,3114,Identity Theft,Open
438,12353,Card Not Present,Closed
439,1142,Suspicious Spend,Open
440,9642,Identity Theft,Open
441,13804,Card Not Present,Open
442,14928,Suspicious Spend,Open
443,3618,Suspicious Spend,Closed
444,9822,Identity Theft,Closed
445,7511,Suspicious Spend,Closed
446,16415,Identity Theft,Open
447,3094,Identity Theft,Closed
448,4454,Card Not Present,Open
449,12886,Suspicious Spend,Open
450,16825,Card Not Present,Open
451,724,Card Not Present,Closed
452,18552,Card Not Present,Open
453,15457,Suspicious Spend,Open
454,10282,Card Not Present,Closed
455,3117,Identity Theft,Closed
456,2077,Identity Theft,Open
457,422,Card Not Present,Open
458,17597,Suspicious Spend,Open
459,12816,Card Not Present,Closed
460,8228,Card Not Present,Closed
461,13490,Suspicious Spend,Open
462,9750,Suspicious Spend,Closed
463,3608,Identity Theft,Closed
464,1888,Card Not Present,Closed
465,1629,Card Not Present,Closed
466,14015,Identity Theft,Closed
467,19249,Card Not Present,Closed
468,6018,Identity Theft,Open
469,7079,Card Not Present,Open
470,5531,Card Not Present,Closed
471,12701,Card Not Present,Closed
472,1106,Suspicious Spend,Closed
473,128,Card Not Present,Open
474,18466,Suspicious Spend,Closed
475,4281,Card Not Present,Open
476,15839,Suspicious Spend,Open
477,8277,Card Not Present,Open
478,14732,Card Not Present,Open
479,5376,Identity Theft,Open
480,2601,Suspicious Spend,Open
481,17877,Card Not Present,Closed
482,8961,Suspicious Spend,Open
483,16862,Suspicious Spend,Closed
484,18298,Suspicious Spend,Open
485,649,Identity Theft,Closed
486,5165,Card Not Present,Closed
487,10952,Card Not Present,Open
488,14607,Suspicious Spend,Closed
489,7092,Suspicious Spend,Open
490,9272,Suspicious Spend,Open
491,4750,Suspicious Spend,Open
492,3857,Suspicious Spend,Open
493,10192,Suspicious Spend,Closed
494,3108,Identity Theft,Open
495,14805,Identity Theft,Closed
496,10532,Suspicious Spend,Open
497,16755,Suspicious Spend,Open
498,6822,Suspicious Spend,Open
499,16027,Card Not Present,Closed
500,13961,Card Not Present,Open
501,4833,Identity Theft,Closed
502,899,Identity Theft,Open
503,12484,Card Not Present,Open
504,18643,Card Not Present,Open
505,4735,Suspicious Spend,Closed
506,6301,Suspicious Spend,Open
507,16296,Identity Theft,Open
508,7115,Suspicious Spend,Closed
509,13049,Identity Theft,Open
510,13356,Identity Theft,Open
511,17001,Identity Theft,Closed
512,11174,Card Not Present,Closed
513,6982,Identity Theft,Closed
514,12210,Suspicious Spend,Open
515,15551,Card Not Present,Closed
516,13083,Suspicious Spend,Closed
517,11346,Card Not Present,Closed
518,12676,Identity Theft,Closed
519,17454,Suspicious Spend,Closed
520,19206,Card Not Present,Open
521,11958,Card Not Present,Open
522,139,Suspicious Spend,Closed
523,4844,Card Not Present,Closed
524,7449,Identity Theft,Closed
525,7813,Card Not Present,Open
526,19334,Suspicious Spend,Open
527,491,Card Not Present,Open
528,14062,Card Not Present,Closed
529,5274,Suspicious Spend,Closed
530,2282,Card Not Present,Open
531,14586,Suspicious Spend,Open
532,683,Identity Theft,Closed
533,10958,Suspicious Spend,Closed
534,6347,Card Not Present,Open
535,13322,Suspicious Spend,Closed
536,5880,Suspicious Spend,Closed
537,17390,Suspicious Spend,Closed
538,15002,Suspicious Spend,Open
539,7871,Suspicious Spend,Open
540,4923,Card Not Present,Open
541,15490,Identity Theft,Open
542,18491,Identity Theft,Open
543,19853,Identity Theft,Closed
544,7400,Identity Theft,Closed
545,3046,Identity Theft,Closed
546,8397,Identity Theft,Closed
547,9020,Suspicious Spend,Open
548,14453,Card Not Present,Closed
549,18514,Identity Theft,Closed
550,19541,Identity Theft,Closed
551,16689,Card Not Present,Open
552,8290,Card Not Present,Open
553,16749,Suspicious Spend,Open
554,10639,Identity Theft,Closed
555,16522,Suspicious Spend,Open
556,5016,Card Not Present,Closed
557,1593,Suspicious Spend,Closed
558,10231,Identity Theft,Closed
559,11505,Card Not Present,Open
560,19041,Suspicious Spend,Closed
561,2207,Suspicious Spend,Closed
562,5533,Identity Theft,Closed
563,15564,Identity Theft,Open
564,18991,Card Not Present,Open
565,1124,Identity Theft,Open
566,11275,Card Not Present,Open
567,11900,Card Not Present,Open
568,19234,Suspicious Spend,Open
569,18556,Suspicious Spend,Open
570,13528,Card Not Present,Open
571,4989,Card Not Present,Closed
572,2435,Card Not Present,Closed
573,3953,Suspicious Spend,Closed
574,5709,Suspicious Spend,Closed
575,13603,Suspicious Spend,Closed
576,16318,Card Not Present,Open
577,11522,Identity Theft,Open
578,17074,Suspicious Spend,Open
579,19748,Suspicious Spend,Open
580,15567,Card Not Present,Open
581,12517,Suspicious Spend,Closed
582,13962,Card Not Present,Open
583,9711,Suspicious Spend,Closed
584,6381,Card Not Present,Closed
585,1119,Card Not Present,Closed
586,7043,Identity Theft,Closed
587,1255,Suspicious Spend,Closed
588,3624,Suspicious Spend,Closed
589,6004,Identity Theft,Closed
590,18198,Card Not Present,Closed
591,12460,Suspicious Spend,Closed
592,1782,Card Not Present,Open
593,1713,Identity Theft,Open
594,15863,Card Not Present,Open
595,18351,Suspicious Spend,Closed
596,7831,Suspicious Spend,Closed
597,13318,Suspicious Spend,Closed
598,19453,Identity Theft,Open
599,17437,Identity Theft,Open
600,8557,Suspicious Spend,Closed
601,17202,Suspicious Spend,Closed
602,14600,Identity Theft,Closed
603,5973,Identity Theft,Closed
604,11896,Suspicious Spend,Open
605,18672,Suspicious Spend,Open
606,337,Card Not Present,Closed
607,5335,Identity Theft,Closed
608,16257,Card Not Present,Open
609,4683,Suspicious Spend,Open
610,5287,Card Not Present,Open
611,12070,Card Not Present,Open
612,5234,Card Not Present,Open
613,4283,Identity Theft,Open
614,11529,Identity Theft,Closed
615,572,Suspicious Spend,Closed
616,12466,Identity Theft,Closed
617,11476,Suspicious Spend,Open
618,4222,Suspicious Spend,Open
619,4437,Suspicious Spend,Open
620,1338,Identity Theft,Open
621,3275,Card Not Present,Closed
622,18357,Suspicious Spend,Open
623,12304,Identity Theft,Closed
624,11114,Suspicious Spend,Open
625,13821,Suspicious Spend,Open
626,2080,Suspicious Spend,Open
627,9700,Identity Theft,Open
628,264,Identity Theft,Open
629,10951,Card Not Present,Open
630,10432,Card Not Present,Open
631,3682,Identity Theft,Open
632,2441,Suspicious Spend,Open
633,3620,Card Not Present,Open
634,13787,Identity Theft,Open
635,16680,Suspicious Spend,Open
636,1464,Suspicious Spend,Open
637,201,Suspicious Spend,Closed
638,3768,Card Not Present,Open
639,19228,Identity Theft,Open
640,18356,Card Not Present,Open
641,6139,Suspicious Spend,Closed
642,10187,Card Not Present,Closed
643,8972,Identity Theft,Closed
644,10128,Card Not Present,Closed
645,9769,Identity Theft,Closed
646,19978,Identity Theft,Closed
647,9710,Card Not Present,Open
648,10169,Suspicious Spend,Open
649,4262,Suspicious Spend,Open
650,2440,Suspicious Spend,Open
651,8005,Suspicious Spend,Open
652,4145,Card Not Present,Closed
653,14515,Suspicious Spend,Open
654,10607,Identity Theft,Open
655,4569,Suspicious Spend,Closed
656,9662,Card Not Present,Closed
657,396,Identity Theft,Closed
658,14618,Identity Theft,Closed
659,19127,Suspicious Spend,Open
660,2139,Identity Theft,Open
661,18560,Identity Theft,Open
662,3116,Identity Theft,Closed
663,5214,Identity Theft,Open
664,14975,Card Not Present,Closed
665,8636,Card Not Present,Open
666,16500,Identity Theft,Closed
667,8992,Suspicious Spend,Open
668,439,Card Not Present,Closed
669,6730,Identity Theft,Closed
670,13797,Identity Theft,Open
671,19718,Suspicious Spend,Closed
672,8390,Card Not Present,Open
673,9799,Suspicious Spend,Open
674,6707,Suspicious Spend,Closed
675,5878,Suspicious Spend,Open
676,19160,Card Not Present,Closed
677,2216,Identity Theft,Closed
678,3384,Card Not Present,Open
679,13322,Suspicious Spend,Open
680,18539,Identity Theft,Closed
681,8231,Identity Theft,Open
682,16840,Identity Theft,Open
683,10546,Identity Theft,Closed
684,17970,Suspicious Spend,Open
685,12379,Suspicious Spend,Closed
686,18179,Card Not Present,Closed
687,12229,Card Not Present,Closed
688,2382,Suspicious Spend,Closed
689,14165,Identity Theft,Closed
690,14658,Card Not Present,Closed
691,2235,Card Not Present,Closed
692,8008,Identity Theft,Closed
693,8745,Identity Theft,Open
694,18406,Card Not Present,Closed
695,16929,Suspicious Spend,Open
696,10921,Identity Theft,Open
697,11438,Identity Theft,Closed
698,9715,Identity Theft,Closed
699,16641,Suspicious Spend,Closed
700,10964,Card Not Present,Open
701,13170,Identity Theft,Closed
702,12545,Identity Theft,Closed
703,5822,Suspicious Spend,Closed
704,15974,Card Not Present,Closed
705,14171,Suspicious Spend,Open
706,16662,Card Not Present,Open
707,15980,Card Not Present,Closed
708,10503,Identity Theft,Open
709,3374,Card Not Present,Closed
710,12607,Suspicious Spend,Open
711,8178,Identity Theft,Open
712,14905,Identity Theft,Closed
713,14276,Suspicious Spend,Open
714,3511,Identity Theft,Closed
715,14257,Identity Theft,Closed
716,10067,Card Not Present,Open
717,17133,Identity Theft,Open
718,7389,Identity Theft,Closed
719,4387,Card Not Present,Closed
720,9962,Suspicious Spend,Closed
721,17715,Suspicious Spend,Closed
722,3960,Suspicious Spend,Closed
723,10022,Card Not Present,Open
724,6801,Card Not Present,Open
725,9640,Suspicious Spend,Closed
726,3175,Identity Theft,Closed
727,18736,Identity Theft,Closed
728,5916,Identity Theft,Open
729,4101,Card Not Present,Open
730,955,Identity Theft,Open
731,11161,Suspicious Spend,Closed
732,13495,Card Not Present,Closed
733,17634,Identity Theft,Open
734,5395,Suspicious Spend,Open
735,16986,Suspicious Spend,Closed
736,3364,Card Not Present,Open
737,17239,Suspicious Spend,Open
738,10492,Suspicious Spend,Closed
739,5580,Suspicious Spend,Open
740,4930,Suspicious Spend,Closed
741,3929,Card Not Present,Open
742,11885,Suspicious Spend,Open
743,17261,Identity Theft,Open
744,8843,Suspicious Spend,Closed
745,9057,Identity Theft,Closed
746,9169,Suspicious Spend,Open
747,18855,Card Not Present,Open
748,11746,Suspicious Spend,Closed
749,2691,Suspicious Spend,Open
750,12589,Card Not Present,Open
751,19431,Identity Theft,Closed
752,8515,Suspicious Spend,Closed
753,10645,Identity Theft,Closed
754,3282,Identity Theft,Closed
755,3569,Suspicious Spend,Open
756,18525,Suspicious Spend,Closed
757,5682,Suspicious Spend,Closed
758,13306,Identity Theft,Open
759,4444,Identity Theft,Closed
760,12847,Identity Theft,Open
761,5122,Card Not Present,Open
762,19388,Suspicious Spend,Closed
763,3894,Suspicious Spend,Open
764,3270,Card Not Present,Closed
765,15620,Identity Theft,Closed
766,8912,Card Not Present,Closed
767,2183,Suspicious Spend,Open
768,12931,Suspicious Spend,Closed
769,141,Suspicious Spend,Closed
770,9522,Card Not Present,Open
771,17968,Identity Theft,Closed
772,19086,Suspicious Spend,Closed
773,10118,Card Not Present,Open
774,9159,Card Not Present,Open
775,15188,Identity Theft,Closed
776,15395,Card Not Present,Closed
777,1641,Suspicious Spend,Open
778,17003,Suspicious Spend,Open
779,17206,Card Not Present,Open
780,7317,Card Not Present,Closed
781,402,Identity Theft,Open
782,16107,Identity Theft,Open
783,17964,Suspicious Spend,Closed
784,12641,Identity Theft,Closed
785,2859,Suspicious Spend,Open
786,2707,Card Not Present,Closed
787,4904,Card Not Present,Closed
788,5388,Card Not Present,Open
789,12432,Identity Theft,Closed
790,6091,Suspicious Spend,Closed
791,7200,Card Not Present,Open
792,8817,Card Not Present,Open
793,7415,Suspicious Spend,Closed
794,13311,Card Not Present,Closed
795,10658,Identity Theft,Open
796,7535,Suspicious Spend,Closed
797,14237,Suspicious Spend,Open
798,11759,Card Not Present,Closed
799,425,Card Not Present,Open
800,9043,Identity Theft,Open
801,11389,Card Not Present,Open
802,10988,Suspicious Spend,Closed
803,19634,Suspicious Spend,Open
804,17594,Suspicious Spend,Open
805,3736,Card Not Present,Open
806,19779,Card Not Present,Open
807,12984,Suspicious Spend,Open
808,3182,Suspicious Spend,Open
809,5241,Card Not Present,Open
810,8211,Identity Theft,Closed
811,1441,Card Not Present,Closed
812,14018,Identity Theft,Closed
813,14437,Card Not Present,Closed
814,1127,Identity Theft,Open
815,10477,Card Not Present,Closed
816,11677,Identity Theft,Open
817,7648,Suspicious Spend,Closed
818,8479,Card Not Present,Open
819,4705,Suspicious Spend,Closed
820,1006,Identity Theft,Closed
821,17500,Identity Theft,Closed
822,3112,Identity Theft,Open
823,12321,Suspicious Spend,Open
824,12628,Suspicious Spend,Closed
825,5785,Suspicious Spend,Open
826,18117,Identity Theft,Open
827,10217,Card Not Present,Open
828,1058,Card Not Present,Open
829,12494,Identity Theft,Open
830,10662,Card Not Present,Closed
831,11806,Card Not Present,Open
832,6098,Suspicious Spend,Open
833,19817,Card Not Present,Closed
834,8228,Identity Theft,Open
835,11386,Suspicious Spend,Open
836,12282,Suspicious Spend,Closed
837,16723,Identity Theft,Closed
838,12168,Suspicious Spend,Closed
839,13346,Card Not Present,Closed
840,8174,Suspicious Spend,Open
841,19989,Identity Theft,Closed
842,5495,Suspicious Spend,Closed
843,8476,Identity Theft,Open
844,5246,Identity Theft,Closed
845,8457,Suspicious Spend,Closed
846,12774,Suspicious Spend,Open
847,170,Card Not Present,Closed
848,5272,Identity Theft,Closed
849,150,Card Not Present,Closed
850,8887,Suspicious Spend,Open
851,5848,Card Not Present,Open
852,1323,Suspicious Spend,Closed
853,10970,Card Not Present,Open
854,12503,Card Not Present,Open
855,1102,Suspicious Spend,Open
856,5365,Identity Theft,Closed
857,8871,Identity Theft,Open
858,12869,Suspicious Spend,Closed
859,18938,Suspicious Spend,Open
860,16068,Identity Theft,Closed
861,16142,Card Not Present,Closed
862,18182,Card Not Present,Open
863,917,Card Not Present,Closed
864,4818,Identity Theft,Open
865,2652,Identity Theft,Closed
